period_date,value
2017-01-01,100.62
2017-02-01,100.84
2017-03-01,101.07
2017-04-01,101.38
2017-05-01,101.75
2017-06-01,102.19
2017-07-01,102.34
2017-08-01,102.18
2017-09-01,102.15
2017-10-01,102.31
2017-11-01,102.51
2017-12-01,102.51
2018-01-01,103.42
2018-02-01,103.63
2018-03-01,103.92
2018-04-01,104.31
2018-05-01,104.69
2018-06-01,105.18
2018-07-01,105.45
2018-08-01,105.45
2018-09-01,105.65
2018-10-01,106.04
2018-11-01,106.53
2018-12-01,106.93
2019-01-01,107.98
2019-02-01,108.43
2019-03-01,108.77
2019-04-01,109.14
2019-05-01,109.47
2019-06-01,109.47
2019-07-01,109.69
2019-08-01,109.47
2019-09-01,109.25
2019-10-01,109.25
2019-11-01,109.58
2019-12-01,110.14
2020-01-01,110.69
2020-02-01,111.02
2020-03-01,111.58
2020-04-01,112.36
2020-05-01,112.69
2020-06-01,113.03
2020-07-01,113.36
2020-08-01,113.25
2020-09-01,113.36
2020-10-01,114.03
2020-11-01,114.93
2020-12-01,115.54
2021-01-01,116.47
2021-02-01,117.06
2021-03-01,117.76
2021-04-01,118.47
2021-05-01,119.18
2021-06-01,119.77
2021-07-01,120.84
2021-08-01,121.20
2021-09-01,121.92
2021-10-01,123.01
2021-11-01,124.24
2021-12-01,125.25
2022-01-01,126.38
2022-02-01,127.65
2022-03-01,135.39
2022-04-01,137.72
2022-05-01,137.31
2022-06-01,136.17
2022-07-01,135.49
2022-08-01,135.22
2022-09-01,135.76
2022-10-01,136.98
2022-11-01,137.66
2022-12-01,140.17
2023-01-01,140.87
2023-02-01,141.72
2023-03-01,142.14
2023-04-01,142.71
2023-05-01,143.28
2023-06-01,143.71
2023-07-01,144.72
2023-08-01,145.29
2023-09-01,146.44
2023-10-01,147.61
2023-11-01,149.07
2023-12-01,150.54
2024-01-01,151.96
2024-02-01,152.87
2024-03-01,153.49
2024-04-01,154.41
2024-05-01,155.34
2024-06-01,156.12
2024-07-01,157.99
2024-08-01,158.15
2024-09-01,159.10
2024-10-01,160.38
2024-11-01,162.47
2024-12-01,164.84
2025-01-01,166.49
2025-02-01,167.99
2025-03-01,169.17
2025-04-01,170.52
2025-05-01,171.55
2025-06-01,172.58
2025-07-01,174.31
2025-08-01,174.66
2025-09-01,175.71
2025-10-01,177.12
2025-11-01,179.24
2025-12-01,181.32
2026-01-01,182.96
2026-02-01,184.06
